Time,target_id,X,Y,Range,Angle,Velocity
0,0,-37.5,15.0,293.5068142309476,0.05233720444871438,5.877205967159159
1,0,-37.2,15.0,293.21296015012706,0.05245554198506777,5.876957141040797
2,0,-36.9,15.0,292.91911852933055,0.05257412377504429,5.876707565701734
3,0,-36.6,15.0,292.62528940609354,0.052692950572304456,5.8764572381630655
4,0,-36.3,15.0,292.3314728181008,0.0528120231335987,5.876206155431227
5,0,-36.0,15.0,292.0376688031871,0.05293134221878312,5.875954314497913
6,0,-35.7,15.0,291.74387739933803,0.053050908590835305,5.875701712339994
7,0,-35.4,15.0,291.4500986446908,0.05317072301587039,5.875448345919418
8,0,-35.1,15.0,291.1563325775347,0.05329078626315713,5.8751942121831355
9,0,-34.8,15.0,290.86257923631223,0.053411099105134016,5.874939308063002
10,0,-34.5,15.0,290.56883865961953,0.05353166231742554,5.874683630475695
11,0,-34.2,15.0,290.2751108862074,0.053652476678858585,5.874427176322623
12,0,-33.9,15.0,289.9813959549819,0.053773542971478905,5.874169942489841
13,0,-33.6,15.0,289.68769390500523,0.05389486198056763,5.873911925847948
14,0,-33.3,15.0,289.39400477549634,0.054016434494658094,5.873653123252007
15,0,-33.0,15.0,289.1003286058319,0.05413826130555238,5.873393531541447
16,0,-32.7,15.0,288.806665435547,0.054260343208338405,5.873133147539979
17,0,-32.4,15.0,288.5130153043359,0.054382681001406766,5.8728719680554935
18,0,-32.1,15.0,288.21937825205305,0.05450527548646783,5.872609989879969
19,0,-31.8,15.0,287.92575431871325,0.05462812746856911,5.872347209789386
20,0,-31.5,15.0,287.6321435444933,0.05475123775611228,5.872083624543623
