time,target_id,x,y,range,angle,velocity
0,0,-37.5,15.0,293.5068142309476,0.0523372044487143,5.877205967159159
1,0,-37.2,15.0,293.21296015012706,0.0524555419850677,5.876957141040797
2,0,-36.9,15.0,292.91911852933055,0.0525741237750442,5.876707565701734
3,0,-36.6,15.0,292.62528940609354,0.0526929505723044,5.8764572381630655
4,0,-36.3,15.0,292.3314728181008,0.0528120231335987,5.876206155431227
5,0,-36.0,15.0,292.0376688031871,0.0529313422187831,5.875954314497913
6,0,-35.7,15.0,291.74387739933803,0.0530509085908353,5.875701712339994
7,0,-35.4,15.0,291.4500986446908,0.0531707230158703,5.875448345919418
8,0,-35.1,15.0,291.1563325775347,0.0532907862631571,5.875194212183136
9,0,-34.8,15.0,290.86257923631223,0.053411099105134,5.874939308063002
10,0,-34.5,15.0,290.5688386596196,0.0535316623174255,5.874683630475695
11,0,-34.2,15.0,290.2751108862074,0.0536524766788585,5.874427176322623
12,0,-33.9,15.0,289.9813959549819,0.0537735429714789,5.874169942489841
13,0,-33.6,15.0,289.68769390500523,0.0538948619805676,5.873911925847948
14,0,-33.3,15.0,289.39400477549634,0.054016434494658,5.873653123252007
15,0,-33.0,15.0,289.1003286058319,0.0541382613055523,5.873393531541447
16,0,-32.7,15.0,288.806665435547,0.0542603432083384,5.873133147539979
17,0,-32.4,15.0,288.5130153043359,0.0543826810014067,5.8728719680554935
18,0,-32.1,15.0,288.21937825205305,0.0545052754864678,5.872609989879969
19,0,-31.8,15.0,287.92575431871325,0.0546281274685691,5.872347209789386
20,0,-31.5,15.0,287.6321435444933,0.0547512377561122,5.872083624543623
